dest_ip,dest_port
174.77.111.198,49547
159.65.144.65,15302
5.22.154.50,60606
207.5.201.225,3128
202.142.178.206,1080
34.80.202.6,3128
199.180.9.164,6184
80.80.162.81,10805
201.234.24.1,4153
110.34.166.186,4153
95.216.49.153,80
202.152.15.2,4145
187.19.127.180,4153
200.75.137.210,4145
129.205.244.158,1080
107.174.4.209,6178
185.215.53.253,3629
109.236.86.221,15279
91.191.23.186,5678
123.30.154.171,7777
41.220.16.213,80
47.90.149.238,80
97.83.40.67,5678
8.218.249.189,15673
65.108.203.36,18080
77.91.74.77,80
173.245.49.48,80
137.184.96.68,80
154.118.243.18,46241
200.108.234.105,8080
102.36.127.231,1080
131.0.207.127,8080
23.236.196.5,6095
83.143.24.66,1080
124.248.184.247,1080
85.236.158.182,31152
41.139.147.86,5678
203.189.135.14,1080
38.50.130.93,5678
186.219.215.147,4153
184.170.249.65,4145
171.228.135.197,5102
103.112.234.113,5678
185.230.4.233,55443
103.134.214.130,1648
157.15.40.222,8080
103.102.85.1,8080
181.115.75.102,5678
209.126.6.159,80
8.217.189.251,1011
213.226.11.149,59086
150.230.207.167,80
178.115.236.219,8080
185.18.250.232,80
217.162.8.134,80
117.54.114.96,80
61.171.50.169,6688
45.41.171.160,6196
185.236.232.20,4405
43.252.236.158,8080
172.120.112.230,5909
1.117.233.128,10800
191.7.208.101,31576
181.176.221.151,9812
64.225.8.115,9994
103.131.156.90,6789
51.158.105.107,16379
103.85.103.6,5678
91.132.124.32,8085
185.133.239.244,16299
154.0.12.163,80
107.152.98.5,4145
190.104.8.142,14888
165.154.224.14,80
101.33.200.32,8000
94.198.213.252,5678
41.70.10.14,8080
190.182.88.214,30956
185.128.240.2,3128
185.170.166.237,80
34.126.187.77,80
100.1.53.24,5678
47.119.22.156,8081
82.24.212.248,5554
59.92.70.176,3127
8.209.255.13,3128
160.19.19.23,8080
8.137.38.48,39
185.174.137.30,3128
141.147.9.254,80
213.231.7.10,3629
103.174.178.131,1020
45.43.64.184,6442
137.74.173.77,33611
200.54.194.13,53281
190.61.88.147,8080
88.204.216.142,33156
164.70.91.226,3172
62.201.212.198,4673
195.138.73.54,31145
109.236.84.37,12005
212.18.113.39,8085
194.180.236.159,8085
45.131.210.103,80
191.252.204.220,8080
138.197.112.162,80
75.119.200.245,23456
104.232.211.193,5806
8.211.42.167,8081
59.153.16.92,20909
198.199.86.11,1080
41.33.145.219,1981
181.214.39.72,5719
185.146.173.154,80
185.103.134.36,8080
190.104.213.175,1080
103.174.122.232,8080
45.92.108.112,80
125.25.133.169,4145
82.146.37.145,80
101.51.121.29,4153
193.216.224.108,8192
39.102.211.162,8090
103.97.140.157,1080
185.238.228.2,80
91.229.23.194,12198
66.63.168.119,8000
118.67.220.225,4145
191.101.26.32,5771
8.211.195.139,8001
72.195.114.169,4145
166.249.54.61,7234
167.99.236.14,80
95.173.218.76,8082
104.18.33.107,80
103.35.188.243,3128
43.130.6.42,80
62.12.146.142,3128
51.75.65.162,63918
38.51.207.91,999
173.214.176.69,6040
213.171.214.19,8001
203.189.137.214,1080
103.76.109.193,8080
149.126.214.38,50100
103.76.253.66,3129
138.204.95.166,8080
113.108.13.120,4433
177.234.192.44,32213
104.16.77.230,80
119.15.89.87,5678
36.37.244.41,5678
88.218.46.32,8085
45.187.76.2,3629
195.46.172.190,4153
147.45.179.84,1082
8.211.194.85,8081
27.154.57.94,10800
191.97.19.66,999
45.67.215.149,80
203.110.240.156,80
202.51.103.154,5678
45.174.56.21,999
47.86.53.59,8080
187.49.207.65,4153
184.174.25.63,5952
84.52.123.163,4145
45.136.244.245,44531
210.16.86.105,5678
38.159.37.156,999
45.177.80.214,1080
88.99.27.163,5093
209.135.168.41,80
8.130.36.245,8081
179.61.166.205,6628
51.83.184.241,9191
202.93.247.51,8090
47.56.110.204,8990
110.235.248.137,1080
72.37.217.3,4145
172.67.78.199,80
104.143.224.33,5894
45.229.9.130,8402
41.57.98.177,80
91.199.139.246,1111
213.156.124.3,33333
45.73.0.118,5678
41.21.182.179,5678
190.71.24.129,999
185.77.220.92,8085
103.38.103.18,1080
93.177.103.24,50471
47.250.51.110,8888
178.49.22.23,1080
116.204.160.111,8080
202.62.59.218,1080
140.83.32.175,80
146.103.56.213,5761
46.8.60.2,1080
155.0.181.254,41174
212.103.118.77,5678
173.245.49.112,80
166.0.235.2,50862
70.35.199.99,56633
102.68.129.54,8080
202.162.219.13,1080
67.205.177.122,25958
185.119.90.32,7497
156.67.217.159,80
183.88.184.48,8080
190.242.60.137,999
163.5.128.189,14270
114.111.151.41,80
104.21.2.219,80
45.187.71.208,5678
95.179.242.209,80
170.114.45.152,80
103.30.29.49,1080
45.43.81.106,5753
146.19.196.145,40234
206.238.236.227,80
190.52.178.17,80
115.190.91.223,7897
173.245.49.50,80
109.94.182.128,4145
79.120.177.37,8080
104.230.113.255,80
185.226.204.85,5638
103.146.2.151,33333
31.40.144.129,8888
8.211.194.78,6379
36.37.180.59,1080
103.157.13.75,84
92.42.8.22,4153
103.234.55.173,80
188.235.139.93,1080
163.5.128.37,14270
103.216.51.36,32650
218.75.69.50,56430
45.59.161.165,5957
223.165.243.161,47205
190.225.164.15,33333
185.226.207.44,5593
103.12.246.45,4145
103.160.12.138,4145
149.12.110.109,5678
180.191.16.9,8085
199.102.105.242,4145
212.39.114.139,5678
8.212.153.179,8080
216.24.57.203,80
45.238.57.1,3629
41.254.53.70,1981
159.112.235.64,80
183.88.212.247,1080
190.187.201.26,8080
51.15.133.214,16379
156.239.53.241,80
45.12.30.150,80
102.68.128.210,8080
138.68.60.8,8080
185.88.177.40,80
184.72.36.89,80
38.253.85.27,999
195.158.8.123,3128
52.191.208.232,80
45.231.221.193,999
38.211.25.10,8080
217.145.199.47,56746
153.19.91.77,80
202.123.183.66,5678
50.203.147.155,80
103.243.114.206,8080
46.159.197.149,7788
23.27.236.197,6933
36.64.5.162,5678
201.182.251.140,999
199.116.114.11,4145
117.198.221.34,4153
190.5.77.211,80
145.220.178.14,1080
54.90.159.174,22229
103.97.94.22,4153
103.224.54.233,31433
104.21.225.111,80
208.67.28.28,58090
63.76.255.180,5678
185.161.186.133,54321
160.3.168.70,8080
89.58.57.45,80
103.107.68.13,5430
8.211.200.183,6379
172.67.181.87,80
116.118.98.10,5678
201.93.159.234,4145
103.54.183.45,80
13.92.20.105,9080
103.195.252.161,83
103.109.158.235,4153
8.211.195.173,55555
16.163.88.228,80
95.165.163.188,36496
