dest_ip,dest_port,metadata_comment
217.219.162.114,5678,proxylist.txt
159.65.230.46,8888,proxylist.txt
31.43.179.147,80,proxylist.txt
23.227.60.82,80,proxylist.txt
8.35.211.202,80,proxylist.txt
45.131.7.208,80,proxylist.txt
188.114.96.93,80,proxylist.txt
172.67.226.48,80,proxylist.txt
159.112.235.216,80,proxylist.txt
45.131.7.252,80,proxylist.txt
172.67.134.75,80,proxylist.txt
172.67.213.142,80,proxylist.txt
188.114.99.244,80,proxylist.txt
185.18.250.75,80,proxylist.txt
164.38.155.52,80,proxylist.txt
63.141.128.180,80,proxylist.txt
172.67.172.167,80,proxylist.txt
172.67.181.76,80,proxylist.txt
8.35.211.66,80,proxylist.txt
188.114.99.92,80,proxylist.txt
190.58.248.86,80,proxylist.txt
172.65.90.47,80,proxylist.txt
141.101.90.109,80,proxylist.txt
172.67.161.166,80,proxylist.txt
108.162.193.33,80,proxylist.txt
172.64.78.193,80,proxylist.txt
172.64.78.69,80,proxylist.txt
172.64.80.202,80,proxylist.txt
172.64.78.34,80,proxylist.txt
45.131.7.19,80,proxylist.txt
188.114.96.35,80,proxylist.txt
103.21.244.207,80,proxylist.txt
172.67.70.62,80,proxylist.txt
176.126.103.194,44214,proxylist.txt
46.161.6.165,8080,proxylist.txt
206.238.237.252,80,proxylist.txt
172.67.70.81,80,proxylist.txt
172.67.166.71,80,proxylist.txt
141.101.123.239,80,proxylist.txt
45.12.30.5,80,proxylist.txt
172.67.151.120,80,proxylist.txt
172.67.133.207,80,proxylist.txt
172.67.171.224,80,proxylist.txt
23.227.38.136,80,proxylist.txt
185.162.229.18,80,proxylist.txt
185.162.231.95,80,proxylist.txt
41.185.72.62,3030,proxylist.txt
175.213.76.24,80,proxylist.txt
205.237.104.203,3128,proxylist.txt
197.164.101.14,1976,proxylist.txt
167.99.236.14,80,proxylist.txt
142.54.232.6,4145,proxylist.txt
67.201.59.70,4145,proxylist.txt
142.54.229.249,4145,proxylist.txt
184.170.245.148,4145,proxylist.txt
192.111.139.162,4145,proxylist.txt
102.177.176.20,80,proxylist.txt
141.101.120.41,80,proxylist.txt
31.43.179.63,80,proxylist.txt
88.216.68.90,9080,proxylist.txt
37.18.73.60,5566,proxylist.txt
104.230.113.255,80,proxylist.txt
103.3.246.71,3128,proxylist.txt
43.155.138.148,3128,proxylist.txt
159.65.245.255,80,proxylist.txt
34.124.190.108,8080,proxylist.txt
124.248.168.90,1080,proxylist.txt
103.118.47.205,8080,proxylist.txt
221.153.152.43,80,proxylist.txt
12.50.107.222,80,proxylist.txt
218.54.90.225,80,proxylist.txt
123.205.71.210,80,proxylist.txt
182.155.254.159,80,proxylist.txt
218.252.192.228,80,proxylist.txt
103.63.190.72,8080,proxylist.txt
185.162.230.106,80,proxylist.txt
142.93.202.130,3128,proxylist.txt
172.67.182.20,80,proxylist.txt
172.67.209.163,80,proxylist.txt
172.67.250.212,80,proxylist.txt
176.235.182.84,1080,proxylist.txt
176.88.166.215,1080,proxylist.txt
84.51.0.57,1082,proxylist.txt
176.236.46.147,80,proxylist.txt
198.177.253.13,4145,proxylist.txt
134.199.159.23,1080,proxylist.txt
172.67.229.18,80,proxylist.txt
141.101.121.49,80,proxylist.txt
23.227.39.73,80,proxylist.txt
141.193.213.133,80,proxylist.txt
172.67.188.19,80,proxylist.txt
188.114.98.153,80,proxylist.txt
31.43.179.94,80,proxylist.txt
172.67.167.50,80,proxylist.txt
172.67.254.144,80,proxylist.txt
141.101.121.10,80,proxylist.txt
147.45.124.194,1080,proxylist.txt
68.71.243.14,4145,proxylist.txt
192.252.214.17,4145,proxylist.txt
45.131.6.34,80,proxylist.txt
45.12.30.99,80,proxylist.txt
108.162.198.206,80,proxylist.txt
98.191.0.37,4145,proxylist.txt
98.191.0.47,4145,proxylist.txt
67.201.39.14,4145,proxylist.txt
172.67.70.119,80,proxylist.txt
141.101.120.224,80,proxylist.txt
8.47.69.6,80,proxylist.txt
141.193.213.123,80,proxylist.txt
172.67.146.112,80,proxylist.txt
188.114.96.173,80,proxylist.txt
45.131.6.7,80,proxylist.txt
45.12.30.220,80,proxylist.txt
154.17.228.122,80,proxylist.txt
147.91.22.150,80,proxylist.txt
192.252.220.89,4145,proxylist.txt
24.249.199.12,4145,proxylist.txt
198.8.94.170,4145,proxylist.txt
184.178.172.28,15294,proxylist.txt
172.66.41.41,80,proxylist.txt
141.101.123.52,80,proxylist.txt
172.64.81.42,80,proxylist.txt
172.64.78.71,80,proxylist.txt
172.67.141.119,80,proxylist.txt
141.193.213.122,80,proxylist.txt
172.67.182.31,80,proxylist.txt
12.50.107.219,80,proxylist.txt
108.162.195.100,80,proxylist.txt
185.162.230.242,80,proxylist.txt
8.35.211.5,80,proxylist.txt
190.93.247.166,80,proxylist.txt
185.162.229.36,80,proxylist.txt
45.131.5.92,80,proxylist.txt
199.34.228.76,80,proxylist.txt
172.67.70.217,80,proxylist.txt
141.101.121.175,80,proxylist.txt
172.67.212.132,80,proxylist.txt
172.67.75.182,80,proxylist.txt
185.162.231.30,80,proxylist.txt
72.195.101.99,4145,proxylist.txt
172.67.183.122,80,proxylist.txt
164.38.155.64,80,proxylist.txt
172.67.180.15,80,proxylist.txt
45.131.5.242,80,proxylist.txt
148.113.172.51,8080,proxylist.txt
190.242.157.215,8080,proxylist.txt
12.50.107.221,80,proxylist.txt
172.67.224.93,80,proxylist.txt
45.12.30.49,80,proxylist.txt
108.162.193.141,80,proxylist.txt
172.67.88.70,80,proxylist.txt
172.67.131.62,80,proxylist.txt
154.92.9.3,80,proxylist.txt
45.131.6.192,80,proxylist.txt
173.245.49.186,80,proxylist.txt
172.67.69.18,80,proxylist.txt
188.114.96.87,80,proxylist.txt
172.67.167.158,80,proxylist.txt
141.101.115.2,80,proxylist.txt
203.196.8.6,3128,proxylist.txt
45.131.5.99,80,proxylist.txt
172.67.181.70,80,proxylist.txt
185.162.230.149,80,proxylist.txt
108.162.195.247,80,proxylist.txt
23.227.39.137,80,proxylist.txt
141.193.213.11,80,proxylist.txt
172.67.191.134,80,proxylist.txt
141.101.121.234,80,proxylist.txt
172.67.172.157,80,proxylist.txt
216.68.128.121,4145,proxylist.txt
192.252.209.158,4145,proxylist.txt
68.71.241.33,4145,proxylist.txt
45.131.6.69,80,proxylist.txt
173.245.49.36,80,proxylist.txt
185.238.228.189,80,proxylist.txt
172.67.70.193,80,proxylist.txt
159.112.235.163,80,proxylist.txt
103.21.244.35,80,proxylist.txt
78.38.67.210,3636,proxylist.txt
192.111.135.18,18301,proxylist.txt
184.178.172.5,15303,proxylist.txt
66.235.200.145,80,proxylist.txt
172.64.147.24,80,proxylist.txt
185.162.229.148,80,proxylist.txt
185.162.231.51,80,proxylist.txt
141.101.121.30,80,proxylist.txt
45.131.6.38,80,proxylist.txt
185.162.228.244,80,proxylist.txt
45.12.31.8,80,proxylist.txt
172.67.70.135,80,proxylist.txt
185.162.231.96,80,proxylist.txt
185.162.229.154,80,proxylist.txt
172.67.180.21,80,proxylist.txt
69.84.182.55,80,proxylist.txt
141.101.121.25,80,proxylist.txt
79.110.202.131,8081,proxylist.txt
45.131.208.26,80,proxylist.txt
141.101.121.86,80,proxylist.txt
45.131.7.218,80,proxylist.txt
45.131.6.8,80,proxylist.txt
141.193.213.10,80,proxylist.txt
5.10.247.239,80,proxylist.txt
45.12.30.211,80,proxylist.txt
172.67.176.4,80,proxylist.txt
188.114.96.1,80,proxylist.txt
66.235.200.143,80,proxylist.txt
23.227.39.204,80,proxylist.txt
45.12.30.255,80,proxylist.txt
203.189.151.19,1080,proxylist.txt
45.12.31.242,80,proxylist.txt
173.245.49.182,80,proxylist.txt
160.153.0.77,80,proxylist.txt
172.67.248.81,80,proxylist.txt
74.176.195.135,80,proxylist.txt
45.131.7.75,80,proxylist.txt
172.64.149.68,80,proxylist.txt
31.43.179.224,80,proxylist.txt
122.116.125.115,8888,proxylist.txt
172.64.146.8,80,proxylist.txt
198.177.252.24,4145,proxylist.txt
110.242.70.68,443,proxylist.txt
172.65.90.1,80,proxylist.txt
8.219.77.141,80,proxylist.txt
174.138.61.184,1080,proxylist.txt
172.65.90.46,80,proxylist.txt
172.64.78.163,80,proxylist.txt
172.64.78.198,80,proxylist.txt
213.143.113.82,80,proxylist.txt
45.12.30.84,80,proxylist.txt
141.101.90.106,80,proxylist.txt
172.67.70.115,80,proxylist.txt
141.193.213.73,80,proxylist.txt
185.162.231.1,80,proxylist.txt
201.134.41.110,443,proxylist.txt
154.16.146.47,80,proxylist.txt
36.138.53.26,10017,proxylist.txt
189.202.188.149,80,proxylist.txt
203.19.38.114,1080,proxylist.txt
185.162.231.149,80,proxylist.txt
172.64.53.198,80,proxylist.txt
172.67.247.91,80,proxylist.txt
164.38.155.95,80,proxylist.txt
31.43.179.119,80,proxylist.txt
185.162.229.58,80,proxylist.txt
142.54.237.38,4145,proxylist.txt
45.12.30.44,80,proxylist.txt
173.245.49.15,80,proxylist.txt
192.104.242.158,4145,proxylist.txt
184.182.240.211,4145,proxylist.txt
208.65.90.21,4145,proxylist.txt
184.182.240.12,4145,proxylist.txt
66.42.224.229,41679,proxylist.txt
98.175.31.222,4145,proxylist.txt
199.187.210.54,4145,proxylist.txt
172.66.41.4,80,proxylist.txt
185.162.230.120,80,proxylist.txt
63.141.128.98,80,proxylist.txt
98.182.147.97,4145,proxylist.txt
23.227.60.54,80,proxylist.txt
63.141.128.81,80,proxylist.txt
141.101.120.55,80,proxylist.txt
185.162.228.152,80,proxylist.txt
103.213.97.78,80,proxylist.txt
159.112.235.24,80,proxylist.txt
141.101.121.194,80,proxylist.txt
45.12.30.109,80,proxylist.txt
173.245.49.43,80,proxylist.txt
103.253.43.144,80,proxylist.txt
45.59.186.60,80,proxylist.txt
154.17.224.118,80,proxylist.txt
162.223.90.144,80,proxylist.txt
162.245.85.36,80,proxylist.txt
104.197.218.238,8080,proxylist.txt
102.223.9.53,80,proxylist.txt
4.213.167.178,80,proxylist.txt
89.116.88.19,80,proxylist.txt
4.213.98.253,80,proxylist.txt
12.50.107.217,80,proxylist.txt
27.34.242.98,80,proxylist.txt
213.73.25.230,8080,proxylist.txt
113.204.79.230,9091,proxylist.txt
141.193.213.21,80,proxylist.txt
141.193.213.10,80,proxylist.txt
141.193.213.10,80,proxylist.txt
173.245.49.92,80,proxylist.txt
172.67.170.23,80,proxylist.txt
172.67.208.129,80,proxylist.txt
172.67.193.139,80,proxylist.txt
172.67.171.178,80,proxylist.txt
172.67.167.194,80,proxylist.txt
45.131.7.9,80,proxylist.txt
23.227.39.196,80,proxylist.txt
188.114.96.36,80,proxylist.txt
188.114.96.154,80,proxylist.txt
103.21.244.151,80,proxylist.txt
203.99.240.179,80,proxylist.txt
172.200.72.48,80,proxylist.txt
185.162.229.229,80,proxylist.txt
172.67.71.127,80,proxylist.txt
159.112.235.56,80,proxylist.txt
45.131.7.79,80,proxylist.txt
141.101.120.206,80,proxylist.txt
172.67.192.42,80,proxylist.txt
185.162.231.220,80,proxylist.txt
172.67.181.177,80,proxylist.txt
72.195.34.41,4145,proxylist.txt
67.201.58.190,4145,proxylist.txt
72.207.33.64,4145,proxylist.txt
68.71.249.158,4145,proxylist.txt
134.209.29.120,1080,proxylist.txt
103.21.244.134,80,proxylist.txt
98.175.31.195,4145,proxylist.txt
31.43.179.37,80,proxylist.txt
85.198.15.98,80,proxylist.txt
172.67.147.152,80,proxylist.txt
141.101.120.87,80,proxylist.txt
103.21.244.213,80,proxylist.txt
94.182.177.92,80,proxylist.txt
45.12.31.197,80,proxylist.txt
108.162.198.255,80,proxylist.txt
45.131.7.89,80,proxylist.txt
45.131.4.76,80,proxylist.txt
23.227.39.168,80,proxylist.txt
45.131.6.4,80,proxylist.txt
141.101.122.174,80,proxylist.txt
141.101.120.200,80,proxylist.txt
172.64.150.209,80,proxylist.txt
172.67.192.10,80,proxylist.txt
23.227.38.204,80,proxylist.txt
208.102.51.6,58208,proxylist.txt
67.201.33.10,25283,proxylist.txt
160.153.0.45,80,proxylist.txt
172.67.154.154,80,proxylist.txt
172.67.180.70,80,proxylist.txt
141.101.90.96,80,proxylist.txt
