dest_ip,dest_port,metadata_comment
91.107.253.250,2158,http
185.149.240.155,1080,socks5
144.126.236.218,8888,http
91.107.253.250,2158,socks5
46.8.60.34,1080,socks4
109.104.212.25,4153,socks4
91.126.132.83,80,socks4
194.135.105.137,10808,socks5
79.120.9.143,7777,socks5
74.119.194.225,2094,http
87.117.11.57,1080,socks5
45.136.198.40,3128,http
209.97.150.167,8080,http
91.223.52.141,5678,socks4
198.199.86.11,80,http
134.209.29.120,3128,http
109.248.236.150,60606,socks4
74.119.194.225,2094,socks5
78.38.84.85,1080,socks4
185.54.178.193,1080,socks5
218.188.156.138,3128,http
94.230.127.180,1080,socks5
4.149.153.123,3128,http
192.241.156.17,1080,socks5
148.230.23.2,999,http
45.236.104.249,999,http
168.245.197.146,80,socks5
198.199.86.11,3128,http
64.226.90.210,20201,socks4
139.59.1.14,80,http
38.35.247.157,999,http
138.252.16.6,8080,http
45.70.201.64,999,http
190.6.54.12,6969,http
45.61.139.153,2525,http
193.30.14.251,999,http
41.223.234.116,37259,socks4
202.191.126.52,1236,http
202.40.188.2,1088,socks4
49.0.87.62,1080,socks4
49.229.36.170,4153,socks4
34.236.148.220,10081,http
36.110.143.55,8080,http
212.103.118.77,5678,socks4
128.199.202.122,8080,http
179.96.28.58,80,http
129.213.162.27,17777,http
139.162.78.109,8080,http
84.2.239.42,4153,socks4
213.35.126.34,10808,socks5
147.93.43.7,1080,socks5
31.13.239.4,5678,socks4
31.43.194.184,1080,socks5
167.114.65.167,8888,http
24.37.213.178,4145,socks4
5.78.67.134,8088,http
119.148.13.209,39045,http
188.124.230.43,17662,socks5
47.251.57.165,1080,http
104.250.52.139,2080,socks5
200.188.112.139,999,http
210.87.74.85,9090,http
115.127.132.225,1080,socks5
104.250.52.139,2080,http
45.6.101.98,4153,socks4
103.72.89.120,8097,http
209.97.150.167,3128,http
64.226.90.210,20201,http
200.105.192.6,5678,socks4
89.169.36.109,1080,socks5
103.175.37.34,1080,socks4
38.191.42.201,999,http
139.255.202.10,8080,socks4
177.53.153.94,999,http
92.42.8.5,4145,socks4
103.191.218.35,8199,socks5
168.253.92.93,10808,socks5
38.188.247.12,999,http
101.255.119.25,8080,http
202.65.127.194,1080,socks5
203.190.8.59,1088,socks4
185.191.236.162,3128,http
167.249.52.38,999,http
103.81.65.189,8080,http
34.124.190.108,8080,socks5
121.165.169.133,8048,http
109.224.242.98,8085,http
199.127.176.139,64312,socks4
104.250.52.139,2080,socks4
103.136.107.70,1080,socks5
201.94.151.78,999,http
8.243.126.26,999,http
103.169.188.122,8080,http
64.226.90.210,20201,socks5
45.191.47.3,999,http
38.10.129.181,999,http
177.53.153.91,999,http
46.16.229.254,8079,http
163.61.134.130,8181,http
91.107.138.98,2255,socks5
45.174.94.26,999,http
201.94.151.66,999,http
177.234.194.30,999,http
130.193.123.34,5678,socks4
223.25.110.37,8199,socks5
217.197.151.182,5678,socks4
213.152.53.245,587,http
201.94.151.71,999,http
52.188.28.218,3128,http
103.144.18.70,3128,http
223.25.109.146,8199,socks5
175.208.236.55,8053,http
149.40.26.240,8080,http
45.249.77.145,83,http
154.0.153.173,8080,http
213.250.198.146,7777,socks5
177.53.153.92,999,http
36.37.189.64,5678,socks4
181.174.228.164,999,http
24.37.120.42,1080,socks5
38.156.75.227,8080,http
31.131.199.127,3629,socks4
85.89.184.87,5678,socks4
222.165.234.147,52667,socks4
45.149.156.87,2087,socks5
160.25.8.141,11011,socks5
201.94.151.65,999,http
213.197.136.218,5678,socks4
181.188.255.182,999,http
79.106.170.126,4145,socks4
103.133.25.119,8080,http
139.59.1.14,8080,http
202.5.52.112,25253,http
103.191.218.63,8199,socks5
177.53.153.93,999,http
200.81.127.113,4153,socks4
159.203.61.169,3128,http
190.242.58.99,999,http
202.73.27.108,1111,http
200.188.112.141,999,http
8.217.231.95,1011,socks5
200.188.112.140,999,http
5.78.67.134,8088,socks5
222.165.223.138,41541,socks4
202.84.76.190,5678,socks4
115.127.119.253,1080,socks5
8.219.97.248,80,http
