metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1767298898.3787,elite,119.68281719756,1750616725.5805,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767083156,1767602871.5118,80,http,45.67.215.187:80,False,120.75471878052,111945,181,99.838574460874,45.67.215.187
True,1766696444.9927,elite,142.96913975777,1761067592.4799,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767116932,1767602871.4851,80,http,102.177.176.131:80,False,50.142049789429,43007,603,98.617289612474,102.177.176.131
True,1766844771.8295,elite,119.86127129818,1742364555.7682,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767083901,1767602870.9632,80,http,45.67.215.165:80,False,72.132587432861,112363,3537,96.948231233822,45.67.215.165
True,1766564413.2472,elite,120.16211537672,1742492448.6142,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",True,California,success,America/Los_Angeles,95113,1767084034,1767602870.8414,80,http,170.114.45.188:80,False,94.247341156006,111071,3372,97.053555044869,170.114.45.188
True,1767067816.3311,elite,143.92119227042,1764742069.0687,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1767162025,1767602870.722,80,http,108.162.193.212:80,False,194.63539123535,19331,4,99.979312128265,108.162.193.212
True,1766145116.8279,elite,120.37458257493,1750625093.3069,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1767083139,1767602870.666,80,http,69.84.182.17:80,False,254.85467910767,114552,200,99.825711098717,69.84.182.17
True,1766468058.0345,elite,143.00814199078,1761066737.7368,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1767115660,1767602870.6013,80,http,8.35.211.130:80,False,209.70749855042,45436,96,99.789159272599,8.35.211.130
True,1767458607.0826,elite,146.41165274434,1765205516.3001,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767020328,1767602870.5986,80,http,141.101.113.129:80,False,68.395376205444,15795,4,99.974681941895,141.101.113.129
True,1767499917.7597,elite,120.55250705449,1742522786.4264,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1767082952,1767602870.523,80,http,69.84.182.171:80,False,263.61680030823,114800,3225,97.267528066088,69.84.182.171
True,1767569668.3679,elite,143.80068390082,1765205716.4545,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767020314,1767602870.515,80,http,141.101.113.42:80,False,274.71017837524,15792,3,99.981006647673,141.101.113.42
True,1766230867.9327,elite,119.25406573814,1720481908.5194,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1767083380,1767602870.3902,80,http,185.238.228.152:80,False,52.037000656128,112597,6039,94.909639569776,185.238.228.152
True,1767584722.9679,elite,142.17135004458,1761065934.2997,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1767115207,1767602870.317,80,http,8.35.211.134:80,False,143.48173141479,45491,103,99.774093082423,8.35.211.134
True,1766788648.7971,elite,144.97015260523,1765207467.9705,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767022376,1767602870.2327,80,http,141.101.113.56:80,False,73.937654495239,15828,2,99.987365761213,141.101.113.56
True,1767298924.6172,elite,145.57246945723,1765208657.652,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1767023337,1767602870.1928,80,http,8.35.211.209:80,False,41.570901870728,16216,6,99.963013191962,8.35.211.209
True,1767458897.8921,elite,120.23123139384,1742340268.3275,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767083836,1767602870.1295,80,http,45.67.215.138:80,False,94.993591308594,112143,3486,96.985185377371,45.67.215.138
True,1767584699.3089,elite,119.56173274281,1742458952.2418,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767083592,1767602870.0596,80,http,216.205.52.198:80,False,29.329538345337,111892,3415,97.03834112413,216.205.52.198
True,1766843640.4917,elite,120.21682236829,1742334561.4021,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1767083528,1767602869.7701,80,http,102.177.176.108:80,False,84.951877593994,108822,4547,95.989203397754,102.177.176.108
True,1767067680.5185,elite,120.08615094128,1742380340.7231,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767083767,1767602869.4389,80,http,45.67.215.88:80,False,124.12548065186,112080,3526,96.949985294881,45.67.215.88
True,1766788607.3935,elite,130.33893888261,1756296299.5059,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767184287,1767602869.2947,80,http,216.205.52.141:80,False,181.17213249207,75639,184,99.757329570183,216.205.52.141
True,1766927108.6131,elite,119.7521351074,1742472797.6877,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1767083266,1767602869.1348,80,http,216.205.52.115:80,False,13.566732406616,111673,3408,97.038607589437,216.205.52.115
True,1766378411.8294,elite,143.98644221472,1765206211.5263,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767021104,1767602869.0513,80,http,141.101.113.119:80,False,18.751859664917,15826,4,99.974731522426,141.101.113.119
True,1767298980.8469,elite,146.91904239798,1765208054.734,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1767022669,1767602868.8905,80,http,141.101.113.185:80,False,25.38800239563,15809,7,99.95574102175,141.101.113.185
True,1767584806.9713,elite,120.00638242866,1742394309.1218,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1767083377,1767602868.8872,80,http,45.67.215.26:80,False,92.463731765747,112072,3468,96.998442097975,45.67.215.26
True,1766155899.7966,elite,142.86774748499,1761069075.5554,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1767118992,1767602868.7083,80,http,108.162.192.144:80,False,23.891687393188,45468,98,99.784927358118,108.162.192.144
True,1767584689.1208,elite,119.20739114488,1720480883.3856,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1767083181,1767602868.6732,80,http,185.238.228.123:80,False,296.10443115234,112567,6109,94.852371161819,185.238.228.123
