alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1759208555.0205,elite,110.33286218605,1742332836.8866,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",true,Hesse,success,Europe/Berlin,60313,1762244034,1762843385.5739,80,http,102.177.176.168:80,false,206.38823509216,77897,1592,97.997207160739,102.177.176.168
true,1761070217.147,elite,140.8432849748,1761070217.147,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Cloudflare London, LLC",1.35208,103.82,false,"Tang Dynastic Technology Pte. LTD",false,"North West",success,Asia/Singapore,858877,1762280091,1762843385.3217,80,http,45.8.211.14:80,false,57.928562164307,12534,0,100,45.8.211.14
true,1759208450.1703,elite,110.04466336826,1742336292.3422,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762244394,1762843385.2806,80,http,216.205.52.1:80,false,79.176902770996,79851,963,98.808374786547,216.205.52.1
true,1758185420.0704,elite,113.72259799541,1753336570.6954,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762411070,1762843385.2483,80,http,216.205.52.211:80,false,87.857961654663,63918,91,99.857832492306,216.205.52.211
true,1761068049.6204,elite,138.42053046908,1761068049.6204,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762277925,1762843385.0782,80,http,8.35.211.189:80,false,232.33890533447,12829,0,100,8.35.211.189
true,1761555607.1489,elite,141.00067244568,1761068152.8095,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Cloudflare London, LLC",1.35208,103.82,false,"Tang Dynastic Technology Pte. LTD",false,"North West",success,Asia/Singapore,858877,1762277893,1762843384.9586,80,http,45.8.211.16:80,false,192.10433959961,12527,1,99.992017879949,45.8.211.16
true,1759218261.7854,elite,111.18363623874,1742466986.213,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762244166,1762843384.9279,80,http,185.221.160.158:80,false,110.5751991272,80169,3504,95.812269190778,185.221.160.158
true,1761066693.2033,elite,139.12466833812,1761066693.2033,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",false,Florida,success,America/New_York,33487,1762276635,1762843384.8753,80,http,69.84.182.146:80,false,158.99515151978,12890,0,100,69.84.182.146
true,1761913992.6057,elite,139.74272430942,1761066154.5913,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762276400,1762843384.8364,80,http,141.101.114.224:80,false,166.06760025024,12416,1,99.991946524925,141.101.114.224
true,1761572496.1836,elite,239.2459013531,1750187038.8391,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Amsterdam,Europe,EU,Netherlands,NL,,true,"Microsoft Corporation",52.3667,4.9,false,"Microsoft Azure Cloud (westeurope)",true,"North Holland",success,Europe/Amsterdam,1047,1762284555,1762843384.7881,80,http,108.141.130.146:80,false,140.81215858459,83432,148,99.822924144532,108.141.130.146
true,1759218301.9818,elite,121.50610573666,1756298562.6406,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762348179,1762843384.4937,80,http,69.84.182.188:80,false,112.43581771851,45174,93,99.794552322884,69.84.182.188
true,1757591975.5997,elite,115.58443606232,1754409263.4562,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762273434,1762843384.3515,80,http,108.162.193.110:80,false,64.035415649414,58355,36,99.938346663013,108.162.193.110
true,1759218104.4538,elite,109.39960047422,1742528607.6683,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762244017,1762843384.3149,80,http,170.114.45.21:80,false,253.39818000793,79393,3118,96.221109912618,170.114.45.21
true,1759218199.8623,elite,110.59050042769,1742428301.9591,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762244222,1762843384.3131,80,http,45.67.215.136:80,false,314.5694732666,80292,3365,95.977622912607,45.67.215.136
true,1759208178.4297,elite,110.6612767781,1742442777.2298,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762244546,1762843384.2661,80,http,45.67.215.94:80,false,491.1470413208,80146,981,98.790784818864,45.67.215.94
true,1761700533.6357,elite,110.76626252596,1742512706.4618,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762243926,1762843383.9877,80,http,216.205.52.12:80,false,54.002046585083,79930,3177,96.177217322247,216.205.52.12
true,1759218095.7063,elite,109.54887578603,1742335518.1905,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762244049,1762843383.8662,80,http,216.205.52.244:80,false,167.74702072144,80217,3889,95.376073050674,216.205.52.244
true,1758180827.1227,elite,110.8509190257,1742440281.8997,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762244049,1762843383.6682,80,http,45.67.215.157:80,false,82.409143447876,80210,3351,95.989755986644,45.67.215.157
true,1759218165.5983,elite,110.44420979184,1750610128.9814,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",true,Hesse,success,Europe/Berlin,60313,1762244234,1762843383.66,80,http,102.177.176.20:80,false,94.099760055542,77885,668,99.149618728756,102.177.176.20
true,1762174970.4999,elite,121.23878620213,1756296172.9196,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762344947,1762843383.5776,80,http,185.221.160.112:80,false,81.870555877686,43946,101,99.770699480101,185.221.160.112
true,1758181685.2283,elite,116.45094915269,1754410769.8745,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762274765,1762843383.347,80,http,45.67.215.34:80,false,69.882869720459,57031,105,99.816227947354,45.67.215.34
true,1761067025.6151,elite,137.94040233541,1761067025.6151,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762276690,1762843383.0406,80,http,141.101.113.122:80,false,253.49020957947,12499,0,100,141.101.113.122
true,1761065837.374,elite,138.29455034827,1761065837.374,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762275769,1762843383.0069,80,http,141.101.114.220:80,false,134.24253463745,12437,0,100,141.101.114.220
true,1761070049.54,elite,140.87180330263,1761070049.54,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1762280098,1762843382.9867,80,http,170.114.45.73:80,false,32.425165176392,12388,0,100,170.114.45.73
true,1759208337.3,elite,110.56684898528,1742450320.6014,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762243979,1762843382.8908,80,http,45.67.215.72:80,false,77.484130859375,80191,970,98.804844691416,45.67.215.72
true,1761786509.7437,elite,109.86967919448,1720490239.4932,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762244630,1762843382.82,80,http,108.162.192.123:80,false,58.59899520874,82352,2135,97.472984009374,108.162.192.123
